date,meal_type,weather,schedule,day_of_week,actual_demand
2024-01-21,breakfast,rainy,weekend,sunday,12
2024-01-21,lunch,rainy,weekend,sunday,17
2024-01-21,dinner,rainy,weekend,sunday,17
2024-01-22,breakfast,cloudy,regular,monday,69
2024-01-22,lunch,cloudy,regular,monday,169
2024-01-22,dinner,cloudy,regular,monday,84
2024-01-23,breakfast,rainy,regular,tuesday,54
2024-01-23,lunch,rainy,regular,tuesday,106
2024-01-23,dinner,rainy,regular,tuesday,96
2024-01-24,breakfast,sunny,regular,wednesday,79
2024-01-24,lunch,sunny,regular,wednesday,164
2024-01-24,dinner,sunny,regular,wednesday,129
2024-01-25,breakfast,sunny,regular,thursday,76
2024-01-25,lunch,sunny,regular,thursday,145
2024-01-25,dinner,sunny,regular,thursday,99
2024-01-26,breakfast,cloudy,regular,friday,20
2024-01-26,lunch,cloudy,regular,friday,47
2024-01-26,dinner,cloudy,regular,friday,27
2024-01-27,breakfast,cloudy,weekend,saturday,14
2024-01-27,lunch,cloudy,weekend,saturday,25
2024-01-27,dinner,cloudy,weekend,saturday,22
2024-01-28,breakfast,sunny,weekend,sunday,14
2024-01-28,lunch,sunny,weekend,sunday,25
2024-01-28,dinner,sunny,weekend,sunday,20
2024-01-29,breakfast,cloudy,regular,monday,67
2024-01-29,lunch,cloudy,regular,monday,151
2024-01-29,dinner,cloudy,regular,monday,118
2024-01-30,breakfast,cloudy,regular,tuesday,78
2024-01-30,lunch,cloudy,regular,tuesday,132
2024-01-30,dinner,cloudy,regular,tuesday,85
2024-01-31,breakfast,rainy,regular,wednesday,51
2024-01-31,lunch,rainy,regular,wednesday,104
2024-01-31,dinner,rainy,regular,wednesday,111
2024-02-01,breakfast,sunny,regular,thursday,84
2024-02-01,lunch,sunny,regular,thursday,191
2024-02-01,dinner,sunny,regular,thursday,106
2024-02-02,breakfast,cloudy,regular,friday,121
2024-02-02,lunch,cloudy,regular,friday,149
2024-02-02,dinner,cloudy,regular,friday,142
2024-02-03,breakfast,sunny,weekend,saturday,18
2024-02-03,lunch,sunny,weekend,saturday,38
2024-02-03,dinner,sunny,weekend,saturday,23
2024-02-04,breakfast,cloudy,weekend,sunday,15
2024-02-04,lunch,cloudy,weekend,sunday,31
2024-02-04,dinner,cloudy,weekend,sunday,22
2024-02-05,breakfast,sunny,regular,monday,108
2024-02-05,lunch,sunny,regular,monday,190
2024-02-05,dinner,sunny,regular,monday,122
2024-02-06,breakfast,cloudy,regular,tuesday,85
2024-02-06,lunch,cloudy,regular,tuesday,193
2024-02-06,dinner,cloudy,regular,tuesday,139
2024-02-07,breakfast,cloudy,regular,wednesday,97
2024-02-07,lunch,cloudy,regular,wednesday,176
2024-02-07,dinner,cloudy,regular,wednesday,139
2024-02-08,breakfast,cloudy,regular,thursday,87
2024-02-08,lunch,cloudy,regular,thursday,182
2024-02-08,dinner,cloudy,regular,thursday,107
2024-02-09,breakfast,cloudy,regular,friday,86
2024-02-09,lunch,cloudy,regular,friday,160
2024-02-09,dinner,cloudy,regular,friday,118
2024-02-10,breakfast,sunny,weekend,saturday,20
2024-02-10,lunch,sunny,weekend,saturday,37
2024-02-10,dinner,sunny,weekend,saturday,22
2024-02-11,breakfast,cloudy,weekend,sunday,15
2024-02-11,lunch,cloudy,weekend,sunday,28
2024-02-11,dinner,cloudy,weekend,sunday,24
2024-02-12,breakfast,sunny,regular,monday,87
2024-02-12,lunch,sunny,regular,monday,153
2024-02-12,dinner,sunny,regular,monday,160
2024-02-13,breakfast,sunny,regular,tuesday,93
2024-02-13,lunch,sunny,regular,tuesday,169
2024-02-13,dinner,sunny,regular,tuesday,141
2024-02-14,breakfast,cloudy,regular,wednesday,114
2024-02-14,lunch,cloudy,regular,wednesday,178
2024-02-14,dinner,cloudy,regular,wednesday,111
2024-02-15,breakfast,cloudy,regular,thursday,90
2024-02-15,lunch,cloudy,regular,thursday,179
2024-02-15,dinner,cloudy,regular,thursday,157
2024-02-16,breakfast,sunny,regular,friday,81
2024-02-16,lunch,sunny,regular,friday,165
2024-02-16,dinner,sunny,regular,friday,110
2024-02-17,breakfast,sunny,weekend,saturday,15
2024-02-17,lunch,sunny,weekend,saturday,28
2024-02-17,dinner,sunny,weekend,saturday,31
2024-02-18,breakfast,sunny,weekend,sunday,19
2024-02-18,lunch,sunny,weekend,sunday,33
2024-02-18,dinner,sunny,weekend,sunday,25
2024-02-19,breakfast,sunny,regular,monday,58
2024-02-19,lunch,sunny,regular,monday,151
2024-02-19,dinner,sunny,regular,monday,149
2024-02-20,breakfast,cloudy,regular,tuesday,114
2024-02-20,lunch,cloudy,regular,tuesday,175
2024-02-20,dinner,cloudy,regular,tuesday,125
2024-02-21,breakfast,sunny,regular,wednesday,106
2024-02-21,lunch,sunny,regular,wednesday,185
2024-02-21,dinner,sunny,regular,wednesday,109
2024-02-22,breakfast,stormy,regular,thursday,48
2024-02-22,lunch,stormy,regular,thursday,110
2024-02-22,dinner,stormy,regular,thursday,71
2024-02-23,breakfast,cloudy,regular,friday,81
2024-02-23,lunch,cloudy,regular,friday,133
2024-02-23,dinner,cloudy,regular,friday,100
2024-02-24,breakfast,cloudy,weekend,saturday,17
2024-02-24,lunch,cloudy,weekend,saturday,32
2024-02-24,dinner,cloudy,weekend,saturday,20
2024-02-25,breakfast,cloudy,weekend,sunday,16
2024-02-25,lunch,cloudy,weekend,sunday,30
2024-02-25,dinner,cloudy,weekend,sunday,21
2024-02-26,breakfast,sunny,regular,monday,79
2024-02-26,lunch,sunny,regular,monday,191
2024-02-26,dinner,sunny,regular,monday,157
2024-02-27,breakfast,sunny,regular,tuesday,96
2024-02-27,lunch,sunny,regular,tuesday,179
2024-02-27,dinner,sunny,regular,tuesday,169
2024-02-28,breakfast,sunny,regular,wednesday,108
2024-02-28,lunch,sunny,regular,wednesday,153
2024-02-28,dinner,sunny,regular,wednesday,127
2024-02-29,breakfast,sunny,regular,thursday,88
2024-02-29,lunch,sunny,regular,thursday,169
2024-02-29,dinner,sunny,regular,thursday,162
2024-03-01,breakfast,sunny,regular,friday,89
2024-03-01,lunch,sunny,regular,friday,148
2024-03-01,dinner,sunny,regular,friday,125
2024-03-02,breakfast,sunny,weekend,saturday,18
2024-03-02,lunch,sunny,weekend,saturday,33
2024-03-02,dinner,sunny,weekend,saturday,28
2024-03-03,breakfast,sunny,weekend,sunday,17
2024-03-03,lunch,sunny,weekend,sunday,35
2024-03-03,dinner,sunny,weekend,sunday,27
2024-03-04,breakfast,cloudy,regular,monday,93
2024-03-04,lunch,cloudy,regular,monday,163
2024-03-04,dinner,cloudy,regular,monday,135
2024-03-05,breakfast,stormy,regular,tuesday,40
2024-03-05,lunch,stormy,regular,tuesday,90
2024-03-05,dinner,stormy,regular,tuesday,66
2024-03-06,breakfast,sunny,regular,wednesday,106
2024-03-06,lunch,sunny,regular,wednesday,194
2024-03-06,dinner,sunny,regular,wednesday,129
2024-03-07,breakfast,cloudy,regular,thursday,78
2024-03-07,lunch,cloudy,regular,thursday,238
2024-03-07,dinner,cloudy,regular,thursday,140
2024-03-08,breakfast,rainy,regular,friday,80
2024-03-08,lunch,rainy,regular,friday,116
2024-03-08,dinner,rainy,regular,friday,84
2024-03-09,breakfast,cloudy,weekend,saturday,18
2024-03-09,lunch,cloudy,weekend,saturday,34
2024-03-09,dinner,cloudy,weekend,saturday,26
2024-03-10,breakfast,cloudy,weekend,sunday,17
2024-03-10,lunch,cloudy,weekend,sunday,31
2024-03-10,dinner,cloudy,weekend,sunday,20
2024-03-11,breakfast,cloudy,regular,monday,94
2024-03-11,lunch,cloudy,regular,monday,138
2024-03-11,dinner,cloudy,regular,monday,108
2024-03-12,breakfast,cloudy,regular,tuesday,95
2024-03-12,lunch,cloudy,regular,tuesday,155
2024-03-12,dinner,cloudy,regular,tuesday,133
2024-03-13,breakfast,sunny,regular,wednesday,127
2024-03-13,lunch,sunny,regular,wednesday,202
2024-03-13,dinner,sunny,regular,wednesday,159
2024-03-14,breakfast,cloudy,regular,thursday,103
2024-03-14,lunch,cloudy,regular,thursday,154
2024-03-14,dinner,cloudy,regular,thursday,125
2024-03-15,breakfast,cloudy,regular,friday,88
2024-03-15,lunch,cloudy,regular,friday,151
2024-03-15,dinner,cloudy,regular,friday,103
2024-03-16,breakfast,stormy,weekend,saturday,9
2024-03-16,lunch,stormy,weekend,saturday,21
2024-03-16,dinner,stormy,weekend,saturday,13
2024-03-17,breakfast,rainy,weekend,sunday,11
2024-03-17,lunch,rainy,weekend,sunday,23
2024-03-17,dinner,rainy,weekend,sunday,20
2024-03-18,breakfast,sunny,regular,monday,82
2024-03-18,lunch,sunny,regular,monday,177
2024-03-18,dinner,sunny,regular,monday,132
2024-03-19,breakfast,rainy,regular,tuesday,63
2024-03-19,lunch,rainy,regular,tuesday,150
2024-03-19,dinner,rainy,regular,tuesday,110
2024-03-20,breakfast,cloudy,regular,wednesday,116
2024-03-20,lunch,cloudy,regular,wednesday,175
2024-03-20,dinner,cloudy,regular,wednesday,170
2024-03-21,breakfast,sunny,regular,thursday,105
2024-03-21,lunch,sunny,regular,thursday,208
2024-03-21,dinner,sunny,regular,thursday,139
2024-03-22,breakfast,sunny,regular,friday,94
2024-03-22,lunch,sunny,regular,friday,143
2024-03-22,dinner,sunny,regular,friday,129
2024-03-23,breakfast,rainy,weekend,saturday,13
2024-03-23,lunch,rainy,weekend,saturday,34
2024-03-23,dinner,rainy,weekend,saturday,19
2024-03-24,breakfast,sunny,weekend,sunday,17
2024-03-24,lunch,sunny,weekend,sunday,32
2024-03-24,dinner,sunny,weekend,sunday,22
2024-03-25,breakfast,sunny,regular,monday,91
2024-03-25,lunch,sunny,regular,monday,157
2024-03-25,dinner,sunny,regular,monday,131
2024-03-26,breakfast,sunny,regular,tuesday,109
2024-03-26,lunch,sunny,regular,tuesday,256
2024-03-26,dinner,sunny,regular,tuesday,112
2024-03-27,breakfast,rainy,regular,wednesday,53
2024-03-27,lunch,rainy,regular,wednesday,165
2024-03-27,dinner,rainy,regular,wednesday,113
2024-03-28,breakfast,rainy,regular,thursday,77
2024-03-28,lunch,rainy,regular,thursday,155
2024-03-28,dinner,rainy,regular,thursday,95
2024-03-29,breakfast,sunny,regular,friday,92
2024-03-29,lunch,sunny,regular,friday,172
2024-03-29,dinner,sunny,regular,friday,119
2024-03-30,breakfast,sunny,weekend,saturday,19
2024-03-30,lunch,sunny,weekend,saturday,37
2024-03-30,dinner,sunny,weekend,saturday,31
2024-03-31,breakfast,stormy,weekend,sunday,8
2024-03-31,lunch,stormy,weekend,sunday,21
2024-03-31,dinner,stormy,weekend,sunday,13
2024-04-01,breakfast,rainy,regular,monday,62
2024-04-01,lunch,rainy,regular,monday,117
2024-04-01,dinner,rainy,regular,monday,93
2024-04-02,breakfast,cloudy,regular,tuesday,99
2024-04-02,lunch,cloudy,regular,tuesday,139
2024-04-02,dinner,cloudy,regular,tuesday,101
2024-04-03,breakfast,cloudy,regular,wednesday,80
2024-04-03,lunch,cloudy,regular,wednesday,125
2024-04-03,dinner,cloudy,regular,wednesday,132
2024-04-04,breakfast,cloudy,regular,thursday,75
2024-04-04,lunch,cloudy,regular,thursday,162
2024-04-04,dinner,cloudy,regular,thursday,161
2024-04-05,breakfast,rainy,regular,friday,81
2024-04-05,lunch,rainy,regular,friday,95
2024-04-05,dinner,rainy,regular,friday,105
2024-04-06,breakfast,cloudy,weekend,saturday,15
2024-04-06,lunch,cloudy,weekend,saturday,22
2024-04-06,dinner,cloudy,weekend,saturday,28
2024-04-07,breakfast,sunny,weekend,sunday,15
2024-04-07,lunch,sunny,weekend,sunday,28
2024-04-07,dinner,sunny,weekend,sunday,26
2024-04-08,breakfast,sunny,regular,monday,90
2024-04-08,lunch,sunny,regular,monday,163
2024-04-08,dinner,sunny,regular,monday,102
2024-04-09,breakfast,sunny,regular,tuesday,102
2024-04-09,lunch,sunny,regular,tuesday,179
2024-04-09,dinner,sunny,regular,tuesday,147
2024-04-10,breakfast,sunny,regular,wednesday,101
2024-04-10,lunch,sunny,regular,wednesday,161
2024-04-10,dinner,sunny,regular,wednesday,167
2024-04-11,breakfast,sunny,regular,thursday,133
2024-04-11,lunch,sunny,regular,thursday,175
2024-04-11,dinner,sunny,regular,thursday,122
2024-04-12,breakfast,sunny,regular,friday,85
2024-04-12,lunch,sunny,regular,friday,249
2024-04-12,dinner,sunny,regular,friday,120
2024-04-13,breakfast,sunny,weekend,saturday,16
2024-04-13,lunch,sunny,weekend,saturday,39
2024-04-13,dinner,sunny,weekend,saturday,25
2024-04-14,breakfast,cloudy,weekend,sunday,12
2024-04-14,lunch,cloudy,weekend,sunday,27
2024-04-14,dinner,cloudy,weekend,sunday,15
2024-04-15,breakfast,cloudy,regular,monday,80
2024-04-15,lunch,cloudy,regular,monday,157
2024-04-15,dinner,cloudy,regular,monday,120
2024-04-16,breakfast,rainy,regular,tuesday,76
2024-04-16,lunch,rainy,regular,tuesday,133
2024-04-16,dinner,rainy,regular,tuesday,103
2024-04-17,breakfast,sunny,regular,wednesday,98
2024-04-17,lunch,sunny,regular,wednesday,179
2024-04-17,dinner,sunny,regular,wednesday,121
2024-04-18,breakfast,sunny,regular,thursday,97
2024-04-18,lunch,sunny,regular,thursday,188
2024-04-18,dinner,sunny,regular,thursday,127
2024-04-19,breakfast,sunny,regular,friday,80
2024-04-19,lunch,sunny,regular,friday,186
2024-04-19,dinner,sunny,regular,friday,136
2024-04-20,breakfast,sunny,weekend,saturday,20
2024-04-20,lunch,sunny,weekend,saturday,38
2024-04-20,dinner,sunny,weekend,saturday,29
2024-04-21,breakfast,sunny,weekend,sunday,16
2024-04-21,lunch,sunny,weekend,sunday,35
2024-04-21,dinner,sunny,weekend,sunday,27
2024-04-22,breakfast,cloudy,exams,monday,122
2024-04-22,lunch,cloudy,exams,monday,170
2024-04-22,dinner,cloudy,exams,monday,147
2024-04-23,breakfast,sunny,exams,tuesday,93
2024-04-23,lunch,sunny,exams,tuesday,240
2024-04-23,dinner,sunny,exams,tuesday,133
2024-04-24,breakfast,cloudy,exams,wednesday,115
2024-04-24,lunch,cloudy,exams,wednesday,247
2024-04-24,dinner,cloudy,exams,wednesday,151
2024-04-25,breakfast,sunny,exams,thursday,121
2024-04-25,lunch,sunny,exams,thursday,210
2024-04-25,dinner,sunny,exams,thursday,165
2024-04-26,breakfast,sunny,exams,friday,100
2024-04-26,lunch,sunny,exams,friday,214
2024-04-26,dinner,sunny,exams,friday,147
2024-04-27,breakfast,sunny,weekend,saturday,17
2024-04-27,lunch,sunny,weekend,saturday,38
2024-04-27,dinner,sunny,weekend,saturday,27
2024-04-28,breakfast,cloudy,weekend,sunday,16
2024-04-28,lunch,cloudy,weekend,sunday,25
2024-04-28,dinner,cloudy,weekend,sunday,24
2024-04-29,breakfast,sunny,exams,monday,73
2024-04-29,lunch,sunny,exams,monday,190
2024-04-29,dinner,sunny,exams,monday,197
2024-04-30,breakfast,cloudy,exams,tuesday,110
2024-04-30,lunch,cloudy,exams,tuesday,230
2024-04-30,dinner,cloudy,exams,tuesday,156
2024-05-01,breakfast,sunny,exams,wednesday,102
2024-05-01,lunch,sunny,exams,wednesday,175
2024-05-01,dinner,sunny,exams,wednesday,101
2024-05-02,breakfast,sunny,exams,thursday,85
2024-05-02,lunch,sunny,exams,thursday,140
2024-05-02,dinner,sunny,exams,thursday,139
2024-05-03,breakfast,sunny,exams,friday,69
2024-05-03,lunch,sunny,exams,friday,129
2024-05-03,dinner,sunny,exams,friday,104
2024-05-04,breakfast,sunny,weekend,saturday,12
2024-05-04,lunch,sunny,weekend,saturday,26
2024-05-04,dinner,sunny,weekend,saturday,22
2024-05-05,breakfast,sunny,weekend,sunday,10
2024-05-05,lunch,sunny,weekend,sunday,25
2024-05-05,dinner,sunny,weekend,sunday,16
2024-05-06,breakfast,sunny,exams,monday,88
2024-05-06,lunch,sunny,exams,monday,158
2024-05-06,dinner,sunny,exams,monday,121
2024-05-07,breakfast,sunny,exams,tuesday,89
2024-05-07,lunch,sunny,exams,tuesday,156
2024-05-07,dinner,sunny,exams,tuesday,147
2024-05-08,breakfast,sunny,exams,wednesday,101
2024-05-08,lunch,sunny,exams,wednesday,191
2024-05-08,dinner,sunny,exams,wednesday,145
2024-05-09,breakfast,sunny,exams,thursday,89
2024-05-09,lunch,sunny,exams,thursday,159
2024-05-09,dinner,sunny,exams,thursday,140
2024-05-10,breakfast,cloudy,exams,friday,66
2024-05-10,lunch,cloudy,exams,friday,110
2024-05-10,dinner,cloudy,exams,friday,93
2024-05-11,breakfast,sunny,weekend,saturday,15
2024-05-11,lunch,sunny,weekend,saturday,23
2024-05-11,dinner,sunny,weekend,saturday,19
2024-05-12,breakfast,cloudy,weekend,sunday,11
2024-05-12,lunch,cloudy,weekend,sunday,19
2024-05-12,dinner,cloudy,weekend,sunday,19
2024-05-13,breakfast,sunny,regular,monday,75
2024-05-13,lunch,sunny,regular,monday,115
2024-05-13,dinner,sunny,regular,monday,91
2024-05-14,breakfast,sunny,regular,tuesday,64
2024-05-14,lunch,sunny,regular,tuesday,152
2024-05-14,dinner,sunny,regular,tuesday,111
2024-05-15,breakfast,sunny,holiday,wednesday,19
2024-05-15,lunch,sunny,holiday,wednesday,34
2024-05-15,dinner,sunny,holiday,wednesday,27
2024-05-16,breakfast,sunny,holiday,thursday,19
2024-05-16,lunch,sunny,holiday,thursday,27
2024-05-16,dinner,sunny,holiday,thursday,30
2024-05-17,breakfast,sunny,holiday,friday,19
2024-05-17,lunch,sunny,holiday,friday,31
2024-05-17,dinner,sunny,holiday,friday,24
2024-05-18,breakfast,rainy,weekend,saturday,11
2024-05-18,lunch,rainy,weekend,saturday,16
2024-05-18,dinner,rainy,weekend,saturday,15
2024-05-19,breakfast,sunny,weekend,sunday,11
2024-05-19,lunch,sunny,weekend,sunday,25
2024-05-19,dinner,sunny,weekend,sunday,14
2024-05-20,breakfast,sunny,holiday,monday,18
2024-05-20,lunch,sunny,holiday,monday,29
2024-05-20,dinner,sunny,holiday,monday,23
2024-05-21,breakfast,sunny,holiday,tuesday,17
2024-05-21,lunch,sunny,holiday,tuesday,34
2024-05-21,dinner,sunny,holiday,tuesday,30
2024-05-22,breakfast,sunny,holiday,wednesday,13
2024-05-22,lunch,sunny,holiday,wednesday,34
2024-05-22,dinner,sunny,holiday,wednesday,27
2024-05-23,breakfast,sunny,holiday,thursday,18
2024-05-23,lunch,sunny,holiday,thursday,35
2024-05-23,dinner,sunny,holiday,thursday,22
2024-05-24,breakfast,sunny,holiday,friday,16
2024-05-24,lunch,sunny,holiday,friday,27
2024-05-24,dinner,sunny,holiday,friday,23
2024-05-25,breakfast,sunny,weekend,saturday,11
2024-05-25,lunch,sunny,weekend,saturday,17
2024-05-25,dinner,sunny,weekend,saturday,19
2024-05-26,breakfast,sunny,weekend,sunday,12
2024-05-26,lunch,sunny,weekend,sunday,17
2024-05-26,dinner,sunny,weekend,sunday,17
2024-05-27,breakfast,sunny,holiday,monday,12
2024-05-27,lunch,sunny,holiday,monday,25
2024-05-27,dinner,sunny,holiday,monday,23
2024-05-28,breakfast,sunny,holiday,tuesday,17
2024-05-28,lunch,sunny,holiday,tuesday,35
2024-05-28,dinner,sunny,holiday,tuesday,23
2024-05-29,breakfast,sunny,holiday,wednesday,18
2024-05-29,lunch,sunny,holiday,wednesday,41
2024-05-29,dinner,sunny,holiday,wednesday,25
2024-05-30,breakfast,cloudy,holiday,thursday,18
2024-05-30,lunch,cloudy,holiday,thursday,28
2024-05-30,dinner,cloudy,holiday,thursday,24
2024-05-31,breakfast,sunny,holiday,friday,14
2024-05-31,lunch,sunny,holiday,friday,26
2024-05-31,dinner,sunny,holiday,friday,25
2024-06-01,breakfast,cloudy,weekend,saturday,7
2024-06-01,lunch,cloudy,weekend,saturday,14
2024-06-01,dinner,cloudy,weekend,saturday,10
2024-06-02,breakfast,stormy,weekend,sunday,5
2024-06-02,lunch,stormy,weekend,sunday,7
2024-06-02,dinner,stormy,weekend,sunday,5
2024-06-03,breakfast,rainy,holiday,monday,6
2024-06-03,lunch,rainy,holiday,monday,14
2024-06-03,dinner,rainy,holiday,monday,9
2024-06-04,breakfast,rainy,holiday,tuesday,5
2024-06-04,lunch,rainy,holiday,tuesday,14
2024-06-04,dinner,rainy,holiday,tuesday,12
2024-06-05,breakfast,rainy,holiday,wednesday,7
2024-06-05,lunch,rainy,holiday,wednesday,14
2024-06-05,dinner,rainy,holiday,wednesday,10
2024-06-06,breakfast,rainy,holiday,thursday,6
2024-06-06,lunch,rainy,holiday,thursday,12
2024-06-06,dinner,rainy,holiday,thursday,12
2024-06-07,breakfast,cloudy,holiday,friday,7
2024-06-07,lunch,cloudy,holiday,friday,13
2024-06-07,dinner,cloudy,holiday,friday,12
2024-06-08,breakfast,rainy,weekend,saturday,5
2024-06-08,lunch,rainy,weekend,saturday,9
2024-06-08,dinner,rainy,weekend,saturday,8
2024-06-09,breakfast,stormy,weekend,sunday,5
2024-06-09,lunch,stormy,weekend,sunday,7
2024-06-09,dinner,stormy,weekend,sunday,5
2024-06-10,breakfast,rainy,holiday,monday,6
2024-06-10,lunch,rainy,holiday,monday,11
2024-06-10,dinner,rainy,holiday,monday,10
2024-06-11,breakfast,cloudy,holiday,tuesday,9
2024-06-11,lunch,cloudy,holiday,tuesday,13
2024-06-11,dinner,cloudy,holiday,tuesday,12
2024-06-12,breakfast,rainy,holiday,wednesday,8
2024-06-12,lunch,rainy,holiday,wednesday,14
2024-06-12,dinner,rainy,holiday,wednesday,11
2024-06-13,breakfast,cloudy,holiday,thursday,9
2024-06-13,lunch,cloudy,holiday,thursday,18
2024-06-13,dinner,cloudy,holiday,thursday,13
2024-06-14,breakfast,cloudy,holiday,friday,8
2024-06-14,lunch,cloudy,holiday,friday,9
2024-06-14,dinner,cloudy,holiday,friday,12
2024-06-15,breakfast,stormy,weekend,saturday,5
2024-06-15,lunch,stormy,weekend,saturday,8
2024-06-15,dinner,stormy,weekend,saturday,5
2024-06-16,breakfast,rainy,weekend,sunday,5
2024-06-16,lunch,rainy,weekend,sunday,9
2024-06-16,dinner,rainy,weekend,sunday,8
2024-06-17,breakfast,rainy,holiday,monday,7
2024-06-17,lunch,rainy,holiday,monday,10
2024-06-17,dinner,rainy,holiday,monday,8
2024-06-18,breakfast,rainy,holiday,tuesday,8
2024-06-18,lunch,rainy,holiday,tuesday,12
2024-06-18,dinner,rainy,holiday,tuesday,10
2024-06-19,breakfast,rainy,holiday,wednesday,7
2024-06-19,lunch,rainy,holiday,wednesday,15
2024-06-19,dinner,rainy,holiday,wednesday,11
2024-06-20,breakfast,rainy,holiday,thursday,8
2024-06-20,lunch,rainy,holiday,thursday,13
2024-06-20,dinner,rainy,holiday,thursday,12
2024-06-21,breakfast,rainy,holiday,friday,7
2024-06-21,lunch,rainy,holiday,friday,12
2024-06-21,dinner,rainy,holiday,friday,8
2024-06-22,breakfast,rainy,weekend,saturday,5
2024-06-22,lunch,rainy,weekend,saturday,11
2024-06-22,dinner,rainy,weekend,saturday,7
2024-06-23,breakfast,sunny,weekend,sunday,6
2024-06-23,lunch,sunny,weekend,sunday,11
2024-06-23,dinner,sunny,weekend,sunday,9
2024-06-24,breakfast,rainy,holiday,monday,7
2024-06-24,lunch,rainy,holiday,monday,13
2024-06-24,dinner,rainy,holiday,monday,12
2024-06-25,breakfast,rainy,holiday,tuesday,6
2024-06-25,lunch,rainy,holiday,tuesday,12
2024-06-25,dinner,rainy,holiday,tuesday,11
2024-06-26,breakfast,rainy,holiday,wednesday,7
2024-06-26,lunch,rainy,holiday,wednesday,16
2024-06-26,dinner,rainy,holiday,wednesday,10
2024-06-27,breakfast,stormy,holiday,thursday,6
2024-06-27,lunch,stormy,holiday,thursday,7
2024-06-27,dinner,stormy,holiday,thursday,6
2024-06-28,breakfast,cloudy,holiday,friday,8
2024-06-28,lunch,cloudy,holiday,friday,14
2024-06-28,dinner,cloudy,holiday,friday,10
2024-06-29,breakfast,rainy,weekend,saturday,5
2024-06-29,lunch,rainy,weekend,saturday,9
2024-06-29,dinner,rainy,weekend,saturday,9
2024-06-30,breakfast,stormy,weekend,sunday,5
2024-06-30,lunch,stormy,weekend,sunday,6
2024-06-30,dinner,stormy,weekend,sunday,6
2024-07-01,breakfast,rainy,holiday,monday,5
2024-07-01,lunch,rainy,holiday,monday,10
2024-07-01,dinner,rainy,holiday,monday,10
2024-07-02,breakfast,cloudy,holiday,tuesday,10
2024-07-02,lunch,cloudy,holiday,tuesday,16
2024-07-02,dinner,cloudy,holiday,tuesday,9
2024-07-03,breakfast,cloudy,holiday,wednesday,9
2024-07-03,lunch,cloudy,holiday,wednesday,16
